strut_id,defect,x0,y0,z0,x1,y1,z1,deep_interior
17338,thin,531.5,406.3,696.5,562.2,445.4,691.3,0
17342,bent,610.1,404.4,698.1,569.3,406.3,740.7,0
17347,thin,562.2,445.4,691.3,563.9,405.4,661.1,0
17364,bent,610.1,404.4,698.1,648.0,404.8,736.0,0
17397,bent,687.0,404.4,697.6,725.6,403.2,658.9,0
17503,bent,298.3,442.6,738.1,297.1,486.4,696.1,0
17505,bent,375.7,446.4,656.9,336.8,447.0,695.9,0
17507,bent,376.0,444.8,740.5,336.8,447.0,695.9,0
17531,bent,376.0,444.8,740.5,375.6,485.9,695.6,0
17532,bent,375.7,446.4,656.9,414.8,445.5,703.8,0
17536,bent,375.6,485.9,695.6,412.2,487.1,743.1,0
17542,bent,453.9,485.8,696.0,412.2,487.1,743.1,0
17544,thin,414.8,445.5,703.8,453.9,485.8,696.0,0
17545,bent,414.8,445.5,703.8,412.2,487.1,743.1,0
17546,bent,414.8,525.4,696.0,412.2,487.1,743.1,0
17558,bent,455.4,527.5,744.7,453.9,485.8,696.0,0
17559,bent,451.7,435.3,744.1,453.9,485.8,696.0,0
17562,missing,451.7,435.3,744.1,494.1,445.6,696.2,0
17564,bent,453.9,485.8,696.0,493.0,481.9,743.8,0
17570,bent,532.1,485.0,696.9,493.0,481.9,743.8,0
17591,bent,610.4,441.2,742.2,562.2,445.4,691.3,0
17598,bent,610.0,483.6,697.0,570.2,482.8,741.8,0
17607,missing,609.5,524.2,659.0,649.6,482.8,658.6,1
17618,bent,610.4,441.2,742.2,649.1,444.2,697.2,0
17619,bent,687.0,443.3,736.0,649.1,444.2,697.2,0
17620,bent,610.0,483.6,697.0,647.7,484.0,743.3,0
17629,bent,649.1,444.2,697.2,647.7,484.0,743.3,0
17658,bent,762.9,480.3,699.2,726.2,482.0,735.8,0
17707,bent,212.0,517.0,740.2,180.4,525.8,695.8,0
17709,bent,141.7,565.3,695.6,180.7,565.0,656.8,0
17731,bent,212.0,517.0,740.2,220.2,565.2,695.5,0
17734,bent,212.0,517.0,740.2,258.8,525.3,696.2,0
17787,bent,375.5,533.0,733.0,376.0,560.5,699.8,0
17790,bent,375.5,533.0,733.0,414.8,525.4,696.0,0
17791,bent,455.4,527.5,744.7,414.8,525.4,696.0,0
17815,bent,455.4,527.5,744.7,460.0,564.4,702.0,0
17818,bent,455.4,527.5,744.7,492.9,524.8,696.2,0
17826,bent,533.1,562.8,697.7,502.0,559.0,746.0,0
17843,bent,531.8,521.7,744.4,533.1,562.8,697.7,0
17846,bent,531.8,521.7,744.4,570.9,523.4,697.9,0
17855,missing,570.9,523.4,697.9,572.1,564.1,657.2,0
17864,bent,612.9,594.0,745.9,649.7,562.3,737.8,0
17874,bent,602.9,524.9,743.1,649.3,522.5,697.4,0
17888,thin,695.1,521.8,648.9,727.1,560.9,658.9,1
17895,disconnected,764.5,604.5,730.0,727.3,560.7,735.7,0
17903,thin,764.5,604.5,730.0,763.7,560.3,698.0,0
17912,bent,763.7,560.3,698.0,727.1,560.9,658.9,0
17934,bent,74.0,611.0,735.0,103.3,604.0,696.3,0
17992,bent,220.1,643.4,695.7,251.3,637.3,734.3,0
18001,bent,258.9,604.5,696.3,251.3,637.3,734.3,0
18015,bent,303.7,605.0,743.7,298.5,643.8,696.1,0
18018,bent,303.7,605.0,743.7,337.2,604.2,696.0,0
18019,bent,381.3,598.0,745.0,337.2,604.2,696.0,0
18030,bent,337.8,683.0,695.9,341.3,642.4,744.6,0
18043,bent,381.3,598.0,745.0,376.6,643.0,696.1,0
18056,thin,415.6,603.9,696.4,446.6,643.4,707.2,0
18075,bent,528.5,604.8,744.2,493.7,603.1,696.1,0
18076,bent,446.6,643.4,707.2,504.0,643.7,745.0,0
18078,thin,446.6,643.4,707.2,494.4,681.4,697.2,0
18082,bent,533.0,641.8,696.7,504.0,643.7,745.0,0
18103,bent,612.9,594.0,745.9,572.0,602.5,697.1,0
